Temps	Canal A
(us)	(V)

-407.82760645	2.57881400
-407.66760645	2.57881400
-407.50760645	2.57881400
-407.34760645	2.57881400
-407.18760646	2.57881400
-407.02760646	2.57881400
-406.86760646	2.57881400
-406.70760646	2.57881400
-406.54760646	2.57881400
-406.38760646	2.57881400
-406.22760646	2.57881400
-406.06760646	2.57881400
-405.90760646	2.57881400
-405.74760646	2.57881400
-405.58760647	2.57881400
-405.42760647	2.57881400
-405.26760647	2.57881400
-405.10760647	2.57881400
-404.94760647	2.57881400
-404.78760647	2.57881400
-404.62760647	2.57881400
-404.46760647	2.57881400
-404.30760647	2.57881400
-404.14760647	2.57881400
-403.98760648	2.57881400
-403.82760648	2.57881400
-403.66760648	2.57881400
-403.50760648	2.57881400
-403.34760648	2.57881400
-403.18760648	2.57881400
-403.02760648	2.57881400
-402.86760648	2.57881400
-402.70760648	2.57881400
-402.54760648	2.57881400
-402.38760648	2.57881400
-402.22760649	2.57881400
-402.06760649	2.57881400
-401.90760649	2.57881400
-401.74760649	2.57881400
-401.58760649	2.57881400
-401.42760649	2.57881400
-401.26760649	2.57881400
-401.10760649	2.57881400
-400.94760649	2.57881400
-400.78760649	2.75826300
-400.62760650	2.57881400
-400.46760650	2.57881400
-400.30760650	2.75826300
-400.14760650	2.75826300
-399.98760650	2.75826300
-399.82760650	2.75826300
-399.66760650	2.57881400
-399.50760650	2.57881400
-399.34760650	2.57881400
-399.18760650	2.75826300
-399.02760651	2.75826300
-398.86760651	2.75826300
-398.70760651	2.75826300
-398.54760651	2.75826300
-398.38760651	2.57881400
-398.22760651	2.57881400
-398.06760651	2.75826300
-397.90760651	2.75826300
-397.74760651	2.75826300
-397.58760651	2.75826300
-397.42760652	2.75826300
-397.26760652	2.75826300
-397.10760652	2.75826300
-396.94760652	2.75826300
-396.78760652	2.75826300
-396.62760652	2.75826300
-396.46760652	2.75826300
-396.30760652	2.75826300
-396.14760652	2.75826300
-395.98760652	2.75826300
-395.82760652	2.75826300
-395.66760653	2.75826300
-395.50760653	2.75826300
-395.34760653	2.75826300
-395.18760653	2.75826300
-395.02760653	2.75826300
-394.86760653	2.75826300
-394.70760653	2.75826300
-394.54760653	2.75826300
-394.38760653	2.75826300
-394.22760653	2.75826300
-394.06760654	2.75826300
-393.90760654	2.75826300
-393.74760654	2.75826300
-393.58760654	2.75826300
-393.42760654	2.75826300
-393.26760654	2.75826300
-393.10760654	2.75826300
-392.94760654	2.75826300
-392.78760654	2.75826300
-392.62760654	2.75826300
-392.46760655	2.75826300
-392.30760655	2.75826300
-392.14760655	2.75826300
-391.98760655	2.75826300
-391.82760655	2.75826300
-391.66760655	2.75826300
-391.50760655	2.75826300
-391.34760655	2.93710100
-391.18760655	2.75826300
-391.02760655	2.75826300
-390.86760655	2.93710100
-390.70760656	2.93710100
-390.54760656	2.93710100
-390.38760656	2.93710100
-390.22760656	2.93710100
-390.06760656	2.93710100
-389.90760656	2.93710100
-389.74760656	2.93710100
-389.58760656	2.93710100
-389.42760656	2.93710100
-389.26760656	2.93710100
-389.10760657	2.93710100
-388.94760657	2.93710100
-388.78760657	2.93710100
-388.62760657	2.93710100
-388.46760657	2.93710100
-388.30760657	2.93710100
-388.14760657	2.93710100
-387.98760657	2.93710100
-387.82760657	2.93710100
-387.66760657	2.93710100
-387.50760658	2.93710100
-387.34760658	2.93710100
-387.18760658	2.93710100
-387.02760658	2.93710100
-386.86760658	2.93710100
-386.70760658	2.93710100
-386.54760658	2.93710100
-386.38760658	2.93710100
-386.22760658	2.93710100
-386.06760658	2.93710100
-385.90760659	2.93710100
-385.74760659	2.93710100
-385.58760659	2.93710100
-385.42760659	2.93710100
-385.26760659	2.93710100
-385.10760659	2.93710100
-384.94760659	2.93710100
-384.78760659	2.93710100
-384.62760659	2.93710100
-384.46760659	2.93710100
-384.30760659	2.93710100
-384.14760660	2.93710100
-383.98760660	2.93710100
-383.82760660	2.93710100
-383.66760660	2.93710100
-383.50760660	2.93710100
-383.34760660	2.93710100
-383.18760660	2.93710100
-383.02760660	2.93710100
-382.86760660	2.93710100
-382.70760660	2.93710100
-382.54760661	2.93710100
-382.38760661	2.93710100
-382.22760661	2.93710100
-382.06760661	2.93710100
-381.90760661	2.93710100
-381.74760661	2.93710100
-381.58760661	2.93710100
-381.42760661	2.93710100
-381.26760661	2.93710100
-381.10760661	2.93710100
-380.94760662	2.93710100
-380.78760662	2.93710100
-380.62760662	2.93710100
-380.46760662	2.93710100
-380.30760662	2.93710100
-380.14760662	2.93710100
-379.98760662	2.93710100
-379.82760662	2.93710100
-379.66760662	2.93710100
-379.50760662	2.93710100
-379.34760662	2.93710100
-379.18760663	2.93710100
-379.02760663	2.93710100
-378.86760663	2.93710100
-378.70760663	2.93710100
-378.54760663	2.93710100
-378.38760663	2.93710100
-378.22760663	2.93710100
-378.06760663	2.93710100
-377.90760663	2.93710100
-377.74760663	2.93710100
-377.58760664	2.93710100
-377.42760664	2.93710100
-377.26760664	2.93710100
-377.10760664	2.93710100
-376.94760664	2.93710100
-376.78760664	2.93710100
-376.62760664	2.93710100
-376.46760664	2.93710100
-376.30760664	2.93710100
-376.14760664	2.93710100
-375.98760665	2.93710100
-375.82760665	2.93710100
-375.66760665	2.93710100
-375.50760665	2.93710100
-375.34760665	2.93710100
-375.18760665	2.93710100
-375.02760665	2.93710100
-374.86760665	2.93710100
-374.70760665	2.93710100
-374.54760665	2.93710100
-374.38760666	2.93710100
-374.22760666	2.93710100
-374.06760666	2.93710100
-373.90760666	2.93710100
-373.74760666	2.93710100
-373.58760666	2.93710100
-373.42760666	2.93710100
-373.26760666	2.93710100
-373.10760666	2.93710100
-372.94760666	2.93710100
-372.78760666	2.93710100
-372.62760667	2.93710100
-372.46760667	2.93710100
-372.30760667	2.93710100
-372.14760667	2.93710100
-371.98760667	2.93710100
-371.82760667	2.93710100
-371.66760667	2.93710100
-371.50760667	2.93710100
-371.34760667	2.93710100
-371.18760667	2.93710100
-371.02760668	2.93710100
-370.86760668	2.93710100
-370.70760668	2.93710100
-370.54760668	2.93710100
-370.38760668	2.93710100
-370.22760668	2.93710100
-370.06760668	2.93710100
-369.90760668	2.93710100
-369.74760668	2.93710100
-369.58760668	2.93710100
-369.42760669	2.93710100
-369.26760669	2.93710100
-369.10760669	2.93710100
