Temps	Canal A
(ms)	(V)

-0.91073500	3.47483800
-0.91041500	3.47483800
-0.91009500	3.47483800
-0.90977500	3.47483800
-0.90945500	3.29538900
-0.90913500	3.29538900
-0.90881500	3.29538900
-0.90849500	3.29538900
-0.90817500	3.29538900
-0.90785500	3.29538900
-0.90753500	3.29538900
-0.90721500	3.11655000
-0.90689500	3.29538900
-0.90657500	3.29538900
-0.90625500	3.29538900
-0.90593500	3.29538900
-0.90561500	3.11655000
-0.90529500	3.11655000
-0.90497500	3.11655000
-0.90465500	3.11655000
-0.90433500	3.11655000
-0.90401500	3.11655000
-0.90369500	3.11655000
-0.90337500	3.11655000
-0.90305500	3.11655000
-0.90273500	2.93710100
-0.90241500	2.93710100
-0.90209500	2.93710100
-0.90177500	2.93710100
-0.90145500	2.93710100
-0.90113500	2.93710100
-0.90081500	2.93710100
-0.90049500	2.93710100
-0.90017500	2.93710100
-0.89985500	2.75826300
-0.89953500	2.93710100
-0.89921500	2.75826300
-0.89889500	2.75826300
-0.89857500	2.75826300
-0.89825500	2.75826300
-0.89793500	2.75826300
-0.89761500	2.75826300
-0.89729500	2.57881400
-0.89697500	2.75826300
-0.89665500	2.57881400
-0.89633500	2.75826300
-0.89601500	2.57881400
-0.89569500	2.57881400
-0.89537500	2.57881400
-0.89505500	2.57881400
-0.89473500	2.57881400
-0.89441500	2.57881400
-0.89409500	2.57881400
-0.89377500	2.57881400
-0.89345500	2.57881400
-0.89313500	2.57881400
-0.89281500	2.57881400
-0.89249500	2.57881400
-0.89217500	2.39997600
-0.89185500	2.39997600
-0.89153500	2.39997600
-0.89121500	2.39997600
-0.89089500	2.39997600
-0.89057500	2.39997600
-0.89025500	2.39997600
-0.88993500	2.39997600
-0.88961500	2.39997600
-0.88929500	2.39997600
-0.88897500	2.39997600
-0.88865500	2.39997600
-0.88833500	2.39997600
-0.88801500	2.39997600
-0.88769500	2.22052700
-0.88737500	2.22052700
-0.88705500	2.22052700
-0.88673500	2.22052700
-0.88641500	2.22052700
-0.88609500	2.39997600
-0.88577500	2.22052700
-0.88545500	2.22052700
-0.88513500	2.22052700
-0.88481500	2.22052700
-0.88449500	2.22052700
-0.88417500	2.22052700
-0.88385500	2.22052700
-0.88353500	2.22052700
-0.88321500	2.22052700
-0.88289500	2.22052700
-0.88257500	2.22052700
-0.88225500	2.22052700
-0.88193500	2.22052700
-0.88161500	2.22052700
-0.88129500	2.22052700
-0.88097500	2.22052700
