Temps	Canal A
(us)	(V)

-222.77599157	2.39997600
-222.69599157	2.22052700
-222.61599157	2.22052700
-222.53599157	2.39997600
-222.45599157	2.39997600
-222.37599157	2.39997600
-222.29599157	2.39997600
-222.21599157	2.39997600
-222.13599157	2.39997600
-222.05599157	2.39997600
-221.97599157	2.39997600
-221.89599157	2.39997600
-221.81599157	2.39997600
-221.73599157	2.57881400
-221.65599157	2.39997600
-221.57599157	2.39997600
-221.49599157	2.57881400
-221.41599158	2.57881400
-221.33599158	2.57881400
-221.25599158	2.57881400
-221.17599158	2.57881400
-221.09599158	2.57881400
-221.01599158	2.57881400
-220.93599158	2.57881400
-220.85599158	2.57881400
-220.77599158	2.57881400
-220.69599158	2.57881400
-220.61599158	2.57881400
-220.53599158	2.57881400
-220.45599158	2.57881400
-220.37599158	2.57881400
-220.29599158	2.57881400
-220.21599158	2.75826300
-220.13599158	2.57881400
-220.05599158	2.75826300
-219.97599158	2.75826300
-219.89599158	2.57881400
-219.81599158	2.75826300
-219.73599159	2.75826300
-219.65599159	2.57881400
-219.57599159	2.75826300
-219.49599159	2.75826300
-219.41599159	2.75826300
-219.33599159	2.75826300
-219.25599159	2.75826300
-219.17599159	2.75826300
-219.09599159	2.75826300
-219.01599159	2.75826300
-218.93599159	2.75826300
-218.85599159	2.93710100
-218.77599159	2.93710100
-218.69599159	2.75826300
-218.61599159	2.93710100
-218.53599159	2.93710100
-218.45599159	2.93710100
-218.37599159	2.93710100
-218.29599159	2.93710100
-218.21599159	2.93710100
-218.13599160	2.93710100
-218.05599160	2.93710100
-217.97599160	2.93710100
-217.89599160	2.93710100
-217.81599160	2.93710100
-217.73599160	2.93710100
-217.65599160	2.93710100
-217.57599160	2.93710100
-217.49599160	2.93710100
-217.41599160	2.93710100
-217.33599160	2.93710100
-217.25599160	2.93710100
-217.17599160	3.11655000
-217.09599160	3.11655000
-217.01599160	3.11655000
-216.93599160	3.11655000
-216.85599160	3.11655000
-216.77599160	3.11655000
-216.69599160	3.11655000
-216.61599160	3.11655000
-216.53599160	3.11655000
-216.45599161	3.11655000
-216.37599161	3.11655000
-216.29599161	3.11655000
-216.21599161	3.11655000
-216.13599161	3.11655000
-216.05599161	3.11655000
-215.97599161	3.11655000
-215.89599161	3.11655000
-215.81599161	3.11655000
-215.73599161	3.11655000
-215.65599161	3.29538900
-215.57599161	3.29538900
-215.49599161	3.29538900
-215.41599161	3.29538900
-215.33599161	3.29538900
-215.25599161	3.29538900
-215.17599161	3.29538900
-215.09599161	3.29538900
-215.01599161	3.29538900
-214.93599161	3.29538900
-214.85599162	3.29538900
-214.77599162	3.29538900
-214.69599162	3.29538900
-214.61599162	3.29538900
-214.53599162	3.29538900
-214.45599162	3.29538900
-214.37599162	3.47483800
-214.29599162	3.29538900
-214.21599162	3.47483800
-214.13599162	3.47483800
-214.05599162	3.47483800
-213.97599162	3.47483800
-213.89599162	3.29538900
-213.81599162	3.47483800
-213.73599162	3.47483800
-213.65599162	3.47483800
-213.57599162	3.47483800
-213.49599162	3.47483800
-213.41599162	3.47483800
-213.33599162	3.47483800
-213.25599162	3.47483800
-213.17599163	3.47483800
-213.09599163	3.47483800
-213.01599163	3.47483800
